Create empty: Dimensions=
         2373603 function calls (2373482 primitive calls) in 1.442 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    32400    0.374    0.000    0.727    0.000 grid.py:154(cell_neighbors)
        1    0.237    0.237    0.237    0.237 {pygame.base.init}
   549273    0.198    0.000    0.217    0.000 grid.py:60(get_width)
        4    0.113    0.028    0.573    0.143 __init__.py:1(<module>)
   550396    0.088    0.000    0.107    0.000 grid.py:57(get_height)
        1    0.060    0.060    0.370    0.370 __init__.py:106(<module>)
        1    0.057    0.057    0.455    0.455 __init__.py:25(<module>)
        2    0.041    0.021    0.054    0.027 __init__.py:45(<module>)
1100734/1100712    0.039    0.000    0.039    0.000 {len}
        1    0.031    0.031    0.032    0.032 arrayprint.py:5(<module>)
   129719    0.029    0.000    0.029    0.000 {range}
        1    0.020    0.020    0.045    0.045 decorators.py:15(<module>)
        1    0.020    0.020    0.747    0.747 grid.py:216(get_cell_neighbor_table)
        1    0.017    0.017    0.024    0.024 utils.py:4(<module>)
        1    0.014    0.014    0.046    0.046 numeric.py:1(<module>)
        1    0.010    0.010    0.011    0.011 __init__.py:10(<module>)
        1    0.009    0.009    0.379    0.379 _numpysurfarray.py:45(<module>)
        1    0.007    0.007    0.025    0.025 _internal.py:6(<module>)
        1    0.007    0.007    0.103    0.103 __init__.py:7(<module>)
        1    0.007    0.007    0.011    0.011 __init__.py:9(<module>)
        1    0.006    0.006    0.385    0.385 surfarray.py:61(<module>)
        1    0.004    0.004    0.005    0.005 main.py:1(<module>)
        1    0.003    0.003    0.299    0.299 add_newdocs.py:10(<module>)
        1    0.002    0.002    0.004    0.004 __init__.py:41(<module>)
        1    0.002    0.002    0.003    0.003 result.py:1(<module>)
        1    0.002    0.002    0.003    0.003 __init__.py:15(<module>)
        1    0.002    0.002    0.277    0.277 type_check.py:3(<module>)
        1    0.002    0.002    0.002    0.002 npyio.py:1(<module>)
        1    0.001    0.001    0.002    0.002 case.py:1(<module>)
        1    0.001    0.001    0.002    0.002 collections.py:11(<module>)
        1    0.001    0.001    0.002    0.002 linalg.py:10(<module>)
        1    0.001    0.001    1.442    1.442 golpy.py:1(<module>)
        1    0.001    0.001    0.002    0.002 __init__.py:88(<module>)
        1    0.001    0.001    0.002    0.002 sprite.py:67(<module>)
        1    0.001    0.001    0.005    0.005 tempfile.py:18(<module>)
        1    0.001    0.001    0.001    0.001 fromnumeric.py:3(<module>)
        1    0.001    0.001    0.001    0.001 hashlib.py:56(<module>)
        1    0.001    0.001    0.001    0.001 runner.py:1(<module>)
        1    0.001    0.001    0.004    0.004 threading.py:1(<module>)
        1    0.001    0.001    0.002    0.002 index_tricks.py:1(<module>)
        1    0.001    0.001    0.001    0.001 {nt.urandom}
        1    0.001    0.001    0.003    0.003 numerictypes.py:82(<module>)
        1    0.001    0.001    0.001    0.001 shutil.py:5(<module>)
